gene_name	number_of_transposon_per_gene	number_of_read_pergene
YAL069W 	19 	509 	
YAL068W-A 	3 	22 	
PAU8 	15 	159 	
YAL067W-A 	8 	30 	
SEO1 	52 	1011 	
YAL066W 	15 	180 	
YAL065C 	14 	136 	
YAL064W-B 	20 	261 	
TDA8 	3 	30 	
YAL064W 	19 	208 	
YAL063C-A 	11 	229 	
FLO9 	218 	4276 	
GDH3 	136 	4325 	
BDH2 	89 	2338 	
BDH1 	73 	1953 	
YAL059C-A 	13 	253 	
ECM1 	19 	531 	
CNE1 	84 	2537 	
YAL056C-A 	27 	661 	
GPB2 	142 	3952 	
PEX22 	17 	244 	
ACS1 	137 	4494 	
FLC2 	79 	2251 	
OAF1 	118 	2874 	
AIM2 	30 	465 	
GEM1 	105 	1750 	
YAL047W-A 	30 	337 	
SPC72 	20 	436 	
AIM1 	26 	500 	
YAL045C 	10 	124 	
YAL044W-A 	16 	159 	
GCV3 	55 	1859 	
PTA1 	44 	674 	
YAL042C-A 	31 	1057 	
ERV46 	116 	4042 	
CDC24 	34 	703 	
CLN3 	48 	1187 	
CYC3 	208 	6464 	
CDC19 	23 	235 	
YAL037C-B 	17 	95 	
YAL037C-A 	9 	147 	
YAL037W 	40 	926 	
RBG1 	65 	1940 	
FUN12 	25 	418 	
YAL034C-B 	37 	1464 	
MTW1 	30 	433 	
FUN19 	61 	1293 	
POP5 	5 	9 	
PRP45 	75 	2241 	
YAL031W-A 	16 	145 	
GIP4 	85 	1817 	
SNC1 	26 	651 	
MYO4 	217 	5989 	
FRT2 	87 	3064 	
SAW1 	55 	943 	
YAL026C-A 	30 	355 	
DRS2 	110 	1593 	
MAK16 	4 	35 	
LTE1 	66 	941 	
PMT2 	135 	3032 	
FUN26 	97 	3528 	
CCR4 	91 	2494 	
ATS1 	88 	2116 	
YAL019W-A 	74 	2860 	
FUN30 	111 	2743 	
LDS1 	52 	955 	
PSK1 	172 	4903 	
YAL016C-B 	18 	101 	
YAL016C-A 	20 	855 	
TPD3 	11 	58 	
NTG1 	103 	3808 	
SYN8 	60 	1959 	
DEP1 	66 	687 	
CYS3 	25 	307 	
SWC3 	113 	1946 	
MDM10 	20 	172 	
SPO7 	58 	748 	
FUN14 	68 	2920 	
ERP2 	76 	3022 	
SSA1 	181 	3463 	
YAL004W 	41 	576 	
EFB1 	6 	15 	
VPS8 	420 	19338 	
TFC3 	38 	864 	
NUP60 	279 	12301 	
ERP1 	138 	6964 	
SWD1 	140 	5266 	
RFA1 	10 	53 	
SEN34 	24 	490 	
BUD14 	168 	3537 	
ADE1 	13 	243 	
KIN3 	73 	2070 	
CDC15 	51 	776 	
YAR019W-A 	62 	2602 	
PAU7 	15 	392 	
YAR023C 	71 	4075 	
UIP3 	39 	813 	
YAR028W 	53 	1718 	
YAR029W 	11 	126 	
YAR030C 	11 	169 	
PRM9 	66 	1321 	
MST28 	87 	1813 	
YAT1 	334 	10224 	
YAR035C-A 	13 	76 	
SWH1 	192 	4361 	
YAR047C 	8 	45 	
FLO1 	249 	4717 	
YAR053W 	7 	141 	
YAR060C 	20 	299 	
YAR064W 	30 	309 	
YAR066W 	11 	156 	
YAR068W 	16 	283 	
YAR069C 	9 	69 	
YAR070C 	13 	90 	
PHO11 	31 	330 	
IMD1 	28 	382 	
YAR075W 	10 	168 	
YBL113C 	81 	1833 	
YBL113W-A 	7 	92 	
YBL112C 	7 	20 	
YBL111C 	42 	842 	
YBL109W 	9 	19 	
PAU9 	1 	0 	
YBL108W 	9 	60 	
YBL107W-A 	21 	351 	
MIX23 	36 	704 	
SRO77 	87 	1029 	
PKC1 	95 	1698 	
SEA4 	129 	2599 	
RTG3 	50 	688 	
SFT2 	44 	690 	
ECM21 	145 	2302 	
YBL100W-C 	9 	49 	
YBL100C 	10 	182 	
ATP1 	81 	1925 	
BNA4 	78 	2229 	
